name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
travis-kelce,27,4,15,5.533333333333333,2.0612833111653743,8.133333333333333,3.2221455929585523,69.2,36.35051581477215,11.819999999999999,5.042909213274946,23.8,10.48300211453443,0.5333333333333333,0.618241233033047,0.13333333333333333,0.3399346342395189,0.4666666666666667,1.203698005684519,0.4666666666666667,1.203698005684519,0.4666666666666667,1.203698005684519,0.0,0.0,22.5,0
rob-gronkowski,28,5,14,4.928571428571429,2.4918233632160582,7.5,3.2237954561133595,77.42857142857143,42.731243647634095,14.621428571428572,4.940962684022007,25.785714285714285,12.289243679091145,0.5714285714285714,0.7284313590846836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,1
zach-ertz,26,4,14,5.285714285714286,2.6302789485031384,7.857142857142857,3.377597262153397,58.857142857142854,31.384384522190885,11.157142857142857,4.052638344464061,22.571428571428573,13.216409095807947,0.5714285714285714,0.6226998490772392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,1
delanie-walker,32,8,16,4.625,1.3169567191065923,6.9375,2.0757152381769517,50.4375,21.263139320194465,10.881250000000001,3.683445864608302,19.25,9.19578707887476,0.1875,0.3903123748998999,0.125,0.33071891388307384,-0.125,0.7806247497997998,-0.125,0.7806247497997998,-0.125,0.7806247497997998,0.0625,0.24206145913796356,22.4,2
evan-engram,22,0,15,4.266666666666667,2.2050447211388304,7.666666666666667,2.8674417556808756,48.13333333333333,28.83716737514665,10.48,4.282086718723322,19.8,9.558242516278815,0.4,0.48989794855663565,0.06666666666666667,0.24944382578492943,0.9333333333333333,3.492213560989012,0.9333333333333333,3.492213560989012,0.9333333333333333,3.492213560989012,0.0,0.0,18.9,0
jimmy-graham,30,6,16,3.5625,2.1203994317109216,6.0,2.979093821953246,32.5,23.71971753626084,7.74375,5.4729983498535795,13.75,10.726718976462466,0.625,0.6959705453537527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,1
jack-doyle,27,3,15,5.333333333333333,2.8205594401741574,7.2,2.925747767665559,46.0,31.34326083865557,8.386666666666667,4.153531295442738,12.666666666666666,5.65292451352002,0.26666666666666666,0.44221663871405337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,1
kyle-rudolph,27,6,16,3.5625,1.6944302139657448,5.0625,2.4101024355823553,33.25,17.693572279220497,9.125,3.8717728497420922,15.75,8.474225628339147,0.5,0.6123724356957945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1
jason-witten,35,11,16,3.9375,2.946793808531571,5.4375,3.3721052400540525,35.0,26.16295090390226,9.01875,3.7074618592104223,12.9375,6.542827657060822,0.3125,0.46351240544347894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1
cameron-brate,26,3,16,3.0,1.7320508075688772,4.8125,2.2698774746668597,36.9375,25.33887514768562,11.8125,4.076590947102738,15.75,7.5291101731877985,0.375,0.5994789404140899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1
benjamin-watson,36,9,16,3.8125,2.4036105653786763,4.9375,2.838766237293941,32.625,25.612191921036356,8.25625,7.838045734588437,14.0625,9.781799105992722,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,1
eric-ebron,24,2,16,3.3125,2.228192933746986,5.375,2.1469455046647083,35.875,25.23111917850653,11.125,6.074897118470402,17.9375,10.377070576516283,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1
hunter-henry,22,1,14,3.2142857142857144,2.1771072363040247,4.428571428571429,2.744196101756935,41.357142857142854,31.981260456838832,10.235714285714286,5.515641025154496,16.928571428571427,10.79328022239688,0.2857142857142857,0.45175395145262565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1
tyler-kroft,24,2,16,2.625,1.8666480653835098,3.875,2.2043990110685496,25.25,24.542055741115085,8.225,9.053072682796708,13.375,13.633025159516137,0.4375,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,3
vernon-davis,33,8,16,2.6875,1.8946882989030147,4.3125,2.7549671050667737,40.5,28.68143999174379,13.95625,10.086684833853985,23.25,17.408690358553685,0.1875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,3
austin-hooper,22,1,16,3.0625,1.6381678027601445,4.0625,2.1928505991061042,32.875,29.660316502020002,11.6125,13.95845957654354,16.8125,19.407533170137828,0.1875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,3
charles-clay,28,3,13,3.769230769230769,1.3674145257408596,5.6923076923076925,2.5232645333625734,42.92307692307692,27.062496156578977,10.899999999999999,4.684179593219977,20.307692307692307,11.096670431915884,0.15384615384615385,0.36080121229410994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1
george-kittle,23,0,15,2.8666666666666667,1.6275407487644937,4.2,2.166410241236256,34.333333333333336,26.00427315312278,11.853333333333333,5.013297872215011,19.2,9.310925482106134,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3
austin-seferian-jenkins,24,-1,13,3.8461538461538463,1.9940740610485728,5.6923076923076925,2.671346977566975,27.46153846153846,16.946138133307425,7.069230769230769,3.3894371249026936,13.23076923076923,7.627418619224947,0.23076923076923078,0.4213250442347432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1
oj-howard,22,0,14,1.8571428571428572,1.5971914124998499,2.7857142857142856,1.7799908277681589,30.857142857142858,27.653098877901922,14.35,8.875548272803046,19.428571428571427,14.661486407369116,0.42857142857142855,0.6226998490772391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3
jesse-james,23,2,16,2.6875,2.567069097239106,3.9375,3.151760420780742,23.25,24.02472684548151,6.9375,5.713347858305146,11.375,8.630433071404934,0.1875,0.5266343608235224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1
julius-thomas,29,1,14,2.9285714285714284,1.279748061940637,4.428571428571429,1.2936264483053455,27.714285714285715,21.657821323711115,9.05,4.832738058580988,13.071428571428571,7.185941490301797,0.21428571428571427,0.410325903324145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,4
david-njoku,21,0,16,2.0,1.0606601717798212,3.75,1.6393596310755,24.125,21.788400010097117,10.39375,7.518765586018758,15.4375,10.988452745951088,0.25,0.4330127018922193,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0,0.0,10.5,3
marcedes-lewis,33,11,16,1.5,1.3228756555322954,3.0,1.4577379737113252,19.875,18.82775544243126,9.175,7.000223210726927,13.125,11.246527241775569,0.3125,0.7680128579652817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,4
trey-burton,25,1,15,1.5333333333333334,1.4079141387961918,2.066666666666667,2.0805982045769644,16.533333333333335,19.43833554831506,7.3133333333333335,5.67812958249066,9.8,7.652450587883596,0.3333333333333333,0.5962847939999439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4
ed-dickson,29,4,16,1.875,1.6153559979150107,3.0,2.1505813167606567,27.3125,41.52667629066887,8.98125,9.003070222846205,13.3125,15.259090528271992,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,3
antonio-gates,37,10,16,1.875,1.5360257159305635,3.25,1.920286436967152,19.75,20.354667769334874,7.98125,5.260610557482848,10.1875,7.501822695185484,0.1875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,4
garrett-celek,29,2,16,1.3125,1.0439558180306292,2.0625,1.6758859597239903,21.0,23.36129277244733,11.9875,10.23333248507054,17.375,17.99609332605274,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3
jermaine-gresham,29,3,14,2.357142857142857,1.2309777099724346,3.2857142857142856,2.1189138534559038,23.0,15.306394555404427,9.799999999999999,3.9788727764818734,13.5,5.30161700400386,0.14285714285714285,0.34992710611188266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,4
seth-devalve,24,-1,16,2.0625,1.0288798520721456,3.625,1.165922381636102,24.6875,20.142364403167768,10.4375,7.865818059807893,16.25,13.136304655419652,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,3
stephen-anderson,24,1,15,1.6666666666666667,1.3498971154211057,3.466666666666667,2.8015868519267593,22.8,22.495036489560686,10.786666666666667,8.330095370935972,13.133333333333333,10.75711650748264,0.06666666666666667,0.24944382578492943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3
nick-oleary,24,-1,15,1.4666666666666666,1.359738536958076,2.1333333333333333,1.586050300449376,21.466666666666665,19.530716548270544,12.406666666666666,10.019478806582484,14.6,10.88607673437344,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,3
coby-fleener,28,0,11,2.0,1.651445647689541,2.727272727272727,1.7104443383842527,26.818181818181817,26.83558757192729,10.227272727272727,7.888782704700611,14.818181818181818,11.400304476142745,0.18181818181818182,0.38569460791993493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3
tyler-higbee,24,1,16,1.5625,1.1709371246996996,2.8125,2.098176291449315,18.4375,25.161897657966897,7.65625,6.69813115260518,11.0,11.963486114005399,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4
jordan-reed,27,2,6,4.5,2.217355782608345,5.833333333333333,2.7938424357067015,35.166666666666664,18.756480361612503,7.416666666666667,1.3094740250276913,13.0,4.83045891539648,0.3333333333333333,0.7453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1
rhett-ellison,28,2,16,1.5,1.541103500742244,2.0,2.091650066335189,14.6875,19.100781234022865,6.13125,4.8414510673454085,7.875,7.192661190407901,0.125,0.33071891388307384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,4
martellus-bennett,30,4,9,3.3333333333333335,1.247219128924647,4.888888888888889,2.5579698740491863,31.77777777777778,14.474328061761836,9.899999999999999,4.2405450383438,18.666666666666668,9.249624617007738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4
zach-miller-chi,32,1,8,2.5,1.7320508075688772,4.375,2.4462982238476156,29.5,14.247806848775006,12.0375,6.290655271909278,16.875,8.34322329798262,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,3
aj-derby,25,-3,11,1.9090909090909092,1.6762808104168887,3.6363636363636362,1.8227216050694022,22.181818181818183,24.527602935980592,9.054545454545455,4.885481950053395,11.272727272727273,8.057643565876488,0.18181818181818182,0.38569460791993493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4
luke-willson,27,2,16,0.9375,1.0288798520721456,1.375,1.0532687216470449,9.5625,14.093299604776732,6.0625,7.663295227902942,7.75,9.107002800043492,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4
darren-fells,31,2,16,1.0625,1.0288798520721456,1.625,1.4086784586980805,11.0625,11.360395844775832,7.3125,6.39060589850446,8.5625,7.689024239134638,0.1875,0.5266343608235224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4
gerald-everett,23,0,16,1.0,0.9354143466934853,2.0,1.5811388300841898,15.25,24.226793019299933,10.40625,13.90725839040535,12.9375,19.26288124217143,0.125,0.33071891388307384,0.0625,0.24206145913796356,0.8125,3.1467989687935263,0.8125,3.1467989687935263,0.8125,3.1467989687935263,0.0,0.0,6.2,0
nick-boyle,24,2,15,1.8666666666666667,1.2036980056845192,2.466666666666667,1.2036980056845192,13.533333333333333,9.15690389208541,7.6,3.454272716506327,9.4,3.97994974842648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4
ricky-seals-jones,22,-1,10,1.2,1.4000000000000001,2.8,2.3579652245103193,20.1,25.52821967940577,8.35,9.300672018730689,11.1,12.533554962579451,0.3,0.6403124237432849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3
demetrius-harris,25,2,16,1.125,1.3169567191065923,2.1875,1.7036266463048764,14.0,19.419706485938452,6.4875,8.309773989104636,9.8125,13.857393108012777,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,4
jonnu-smith,21,0,16,1.125,1.3635890143294642,1.875,1.6153559979150107,9.8125,10.303025951146585,6.0125,6.942790775329472,7.75,9.283722313813572,0.125,0.33071891388307384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4
lance-kendricks,29,3,16,1.125,1.0532687216470449,2.1875,2.3774658252012792,12.6875,15.250896490042807,7.46875,8.138390408274844,10.0,13.105342422081156,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4
adam-shaheen,22,-1,13,0.9230769230769231,1.4390989949130544,1.0769230769230769,1.5913969896597848,9.76923076923077,17.325631728537328,3.369230769230769,5.979244178551798,5.6923076923076925,10.200939740907852,0.23076923076923078,0.42132504423474315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4
greg-olsen,32,8,7,2.4285714285714284,2.8212025225902138,5.428571428571429,3.619674131234265,27.285714285714285,37.02784390819693,8.7,3.752713304111725,12.571428571428571,8.482875908173442,0.14285714285714285,0.3499271061118826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1
